transaction_id,transaction_ts,transaction_date,transaction_hour,amount,currency_code,transaction_type,transaction_channel,transaction_status,transaction_country,transaction_city,device_id,ip_address,is_international,is_card_present,account_id,account_type,account_status,current_balance,account_currency,customer_id,customer_name,customer_country,customer_city,customer_segment,kyc_risk_rating,days_since_onboarding,merchant_id,merchant_name,merchant_category,merchant_country,merchant_city,merchant_risk_rating,merchant_is_online,fraud_label,prior_account_avg_amount,prior_account_std_amount,prior_account_max_amount,account_transaction_sequence,transactions_last_hour,transactions_last_24h,amount_z_score,amount_to_prior_avg_ratio,merchant_risk_score,kyc_risk_score,country_mismatch_flag,night_transaction_flag,high_risk_merchant_flag,card_not_present_flag,international_card_not_present_flag,velocity_flag,sudden_spend_increase_flag,above_prior_max_flag,prior_unique_merchant_count,new_merchant_flag,triggered_rule_count
1019,2026-01-02 17:10:00,2026-01-02,17,110.4,USD,Purchase,Card Present,Approved,CA,Toronto,dev-ethan-01,68.54.101.3/32,True,True,107,Credit Card,Open,-6850.55,USD,6,Ethan Brown,US,Chicago,Premier,High,2941,201.0,Maple Grocery Market,Grocery,CA,Toronto,Low,False,False,,,,1,1.0,1.0,,,1,3,True,False,False,False,False,False,False,False,0,True,2
1020,2026-01-02 17:42:00,2026-01-02,17,3400.0,USD,Purchase,Card Not Present,Approved,MT,Valletta,dev-ethan-01,68.54.101.3/32,True,False,107,Credit Card,Open,-6850.55,USD,6,Ethan Brown,US,Chicago,Premier,High,2941,204.0,Global Crypto Exchange,Crypto Exchange,MT,Valletta,High,True,True,110.4,,110.4,2,2.0,2.0,,30.79710144927536,3,3,True,False,True,True,True,False,True,True,1,True,6
1021,2026-01-02 17:48:00,2026-01-02,17,3100.0,USD,Purchase,Card Not Present,Approved,MT,Valletta,dev-ethan-01,68.54.101.3/32,True,False,107,Credit Card,Open,-6850.55,USD,6,Ethan Brown,US,Chicago,Premier,High,2941,204.0,Global Crypto Exchange,Crypto Exchange,MT,Valletta,High,True,True,1755.2,2326.0984673912667,3400.0,3,3.0,3.0,0.5781354567969778,1.7661804922515951,3,3,True,False,True,True,True,True,False,False,2,False,4
1025,2026-01-03 09:30:00,2026-01-03,9,1200.0,USD,Payment,Online Banking,Approved,US,Seattle,dev-lucas-01,76.121.33.45/32,False,False,109,Business Checking,Open,40320.19,USD,8,Lucas Wilson,US,Seattle,Small Business,High,3516,209.0,Cloud Software Pro,Software,US,Seattle,Low,True,False,,,,1,1.0,1.0,,,1,3,False,False,False,True,False,False,False,False,0,True,1
1010,2026-01-03 10:05:00,2026-01-03,10,350.0,USD,Payment,Online Banking,Approved,US,Seattle,dev-sophia-01,142.112.88.10/32,True,False,104,Business Checking,Open,18425.7,CAD,3,Sophia Chen,CA,Vancouver,Small Business,Medium,2670,209.0,Cloud Software Pro,Software,US,Seattle,Low,True,False,,,,1,1.0,1.0,,,1,2,True,False,False,True,True,False,False,False,0,True,3
1031,2026-01-03 18:20:00,2026-01-03,18,18.4,USD,Purchase,Card Not Present,Approved,US,Boston,dev-james-01,98.216.77.10/32,False,False,111,Credit Card,Open,-990.31,USD,10,James Anderson,US,Boston,Premier,Low,3687,212.0,RideShare Central,Transportation,US,Boston,Low,True,False,,,,1,1.0,1.0,,,1,1,False,False,False,True,False,False,False,False,0,True,1
1011,2026-01-04 10:05:00,2026-01-04,10,350.0,USD,Payment,Online Banking,Approved,US,Seattle,dev-sophia-01,142.112.88.10/32,True,False,104,Business Checking,Open,18425.7,CAD,3,Sophia Chen,CA,Vancouver,Small Business,Medium,2671,209.0,Cloud Software Pro,Software,US,Seattle,Low,True,False,350.0,,350.0,2,1.0,2.0,,1.0,1,2,True,False,False,True,True,False,False,False,1,False,2
1013,2026-01-05 08:12:00,2026-01-05,8,23.55,USD,Purchase,Card Not Present,Approved,US,Boston,dev-noah-01,73.200.14.66/32,False,False,105,Checking,Open,6200.0,USD,4,Noah Williams,US,New York,Retail,Low,2145,212.0,RideShare Central,Transportation,US,Boston,Low,True,False,,,,1,1.0,1.0,,,1,1,False,False,False,True,False,False,False,False,0,True,1
1032,2026-01-05 09:05:00,2026-01-05,9,1120.0,USD,Purchase,Card Not Present,Approved,US,New York,dev-james-01,98.216.77.10/32,False,False,111,Credit Card,Open,-990.31,USD,10,James Anderson,US,Boston,Premier,Low,3689,205.0,Skyline Travel,Travel,US,New York,Medium,True,False,18.4,,18.4,2,1.0,1.0,,60.86956521739131,2,1,False,False,False,True,False,False,True,True,1,True,3
1033,2026-01-05 09:11:00,2026-01-05,9,6500.0,GBP,Purchase,Card Not Present,Approved,GB,London,new-device-uk,185.220.101.45/32,True,False,111,Credit Card,Open,-990.31,USD,10,James Anderson,US,Boston,Premier,Low,3689,207.0,Luxury Watch House,Luxury Goods,GB,London,High,True,True,569.2,778.9488301551007,1120.0,3,2.0,2.0,7.613850577090008,11.419536191145466,3,1,True,False,True,True,True,False,True,True,2,True,6
1001,2026-01-05 09:15:00,2026-01-05,9,64.22,CAD,Purchase,Card Present,Approved,CA,Toronto,dev-ava-01,24.114.10.11/32,False,True,101,Checking,Open,8450.25,CAD,1,Ava Johnson,CA,Toronto,Premier,Low,2485,201.0,Maple Grocery Market,Grocery,CA,Toronto,Low,False,False,,,,1,1.0,1.0,,,1,1,False,False,False,False,False,False,False,False,0,True,1
1014,2026-01-05 15:40:00,2026-01-05,15,740.8,USD,Purchase,Card Not Present,Approved,US,New York,dev-noah-01,73.200.14.66/32,False,False,105,Checking,Open,6200.0,USD,4,Noah Williams,US,New York,Retail,Low,2145,205.0,Skyline Travel,Travel,US,New York,Medium,True,False,23.55,,23.55,2,1.0,2.0,,31.456475583864115,2,1,False,False,False,True,False,False,True,True,1,True,3
1022,2026-01-05 20:05:00,2026-01-05,20,66.9,CAD,Purchase,Card Present,Approved,CA,Montreal,dev-olivia-01,70.30.88.2/32,False,True,108,Savings,Open,12150.88,CAD,7,Olivia Davis,CA,Montreal,Retail,Low,1823,210.0,Harbor Restaurant Group,Restaurant,CA,Montreal,Low,False,False,,,,1,1.0,1.0,,,1,1,False,False,False,False,False,False,False,False,0,True,1
1015,2026-01-06 03:12:00,2026-01-06,3,900.0,USD,Withdrawal,ATM,Approved,US,Chicago,unknown-atm-card,198.51.100.22/32,False,True,105,Checking,Open,6200.0,USD,4,Noah Williams,US,New York,Retail,Low,2146,206.0,QuickCash ATM Network,ATM,US,Chicago,Medium,False,True,382.17499999999995,507.1723388060512,740.8,3,1.0,3.0,1.0210040264006246,2.3549421076731867,2,1,False,True,False,False,False,False,False,True,2,True,3
1034,2026-01-06 13:00:00,2026-01-06,13,5000.0,USD,Transfer,Online Banking,Approved,US,Boston,dev-james-02,98.216.77.11/32,False,False,112,Savings,Open,25200.0,USD,10,James Anderson,US,Boston,Premier,Low,3690,,Peer / Bank Transfer,Transfer,US,Boston,Low,False,False,,,,1,1.0,1.0,,,1,1,False,False,False,True,False,False,False,False,0,False,0
1035,2026-01-06 13:05:00,2026-01-06,13,5000.0,USD,Transfer,Online Banking,Approved,US,Boston,dev-james-02,98.216.77.11/32,False,False,112,Savings,Open,25200.0,USD,10,James Anderson,US,Boston,Premier,Low,3690,,Peer / Bank Transfer,Transfer,US,Boston,Low,False,False,5000.0,,5000.0,2,2.0,2.0,,1.0,1,1,False,False,False,True,False,False,False,False,0,False,0
1023,2026-01-06 14:20:00,2026-01-06,14,899.99,CAD,Purchase,Card Not Present,Approved,CA,Vancouver,dev-olivia-01,70.30.88.2/32,False,False,108,Savings,Open,12150.88,CAD,7,Olivia Davis,CA,Montreal,Retail,Low,1824,202.0,Northstar Electronics,Electronics,CA,Vancouver,Medium,True,False,66.9,,66.9,2,1.0,2.0,,13.452765321375185,2,1,False,False,False,True,False,False,True,True,1,True,3
1024,2026-01-06 14:37:00,2026-01-06,14,2800.0,EUR,Purchase,Card Not Present,Approved,FR,Paris,new-device-fr,193.56.29.8/32,True,False,108,Savings,Open,12150.88,CAD,7,Olivia Davis,CA,Montreal,Retail,Low,1824,213.0,Royal Hotel Collection,Hospitality,FR,Paris,Medium,True,True,483.445,589.0835883387008,899.99,3,2.0,3.0,3.9324724807442237,5.791765350763789,2,1,True,False,False,True,True,False,True,True,2,True,5
1002,2026-01-06 19:42:00,2026-01-06,19,88.1,CAD,Purchase,Card Present,Approved,CA,Montreal,dev-ava-01,24.114.10.11/32,False,True,101,Checking,Open,8450.25,CAD,1,Ava Johnson,CA,Toronto,Premier,Low,2486,210.0,Harbor Restaurant Group,Restaurant,CA,Montreal,Low,False,False,64.22,,64.22,2,1.0,1.0,,1.3718467767050762,1,1,False,False,False,False,False,False,False,True,1,True,2
1016,2026-01-07 12:45:00,2026-01-07,12,78.44,USD,Purchase,Card Present,Approved,US,Miami,dev-mia-01,172.58.19.33/32,False,True,106,Checking,Open,760.32,USD,5,Mia Garcia,US,Miami,Student,Low,1227,208.0,Campus Bookstore,Education,US,Miami,Low,False,False,,,,1,1.0,1.0,,,1,1,False,False,False,False,False,False,False,False,0,True,1
1012,2026-01-07 21:30:00,2026-01-07,21,2500.0,USD,Purchase,Card Not Present,Declined,US,Dallas,unknown-device-98,103.21.244.7/32,True,False,104,Business Checking,Open,18425.7,CAD,3,Sophia Chen,CA,Vancouver,Small Business,Medium,2674,214.0,Digital Gift Cards Now,Gift Cards,US,Dallas,High,True,True,350.0,0.0,350.0,3,1.0,1.0,,7.142857142857143,3,2,True,False,True,True,True,False,True,True,1,True,6
1017,2026-01-07 23:52:00,2026-01-07,23,499.0,USD,Purchase,Card Not Present,Approved,US,Dallas,dev-mia-02,172.58.19.33/32,False,False,106,Checking,Open,760.32,USD,5,Mia Garcia,US,Miami,Student,Low,1227,214.0,Digital Gift Cards Now,Gift Cards,US,Dallas,High,True,False,78.44,,78.44,2,1.0,2.0,,6.361550229474758,3,1,False,False,True,True,False,False,True,True,1,True,4
